Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	20.215281
1	Clockticks	333960900000
1	Instructions Retired	410949000000
1	CPI Rate	0.812658
1	MUX Reliability	0.990246
1	Front-End Bound	24.9
2	Front-End Latency	12.3
3	ICache Misses	1.3
3	ITLB Overhead	0.2
3	Branch Resteers	3.1
4	Mispredicts Resteers	2.3
4	Clears Resteers	0.0
4	Unknown Branches	0.8
3	DSB Switches	2.8
3	Length Changing Prefixes	0.0
3	MS Switches	4.1
2	Front-End Bandwidth	12.5
3	Front-End Bandwidth MITE	23.3
3	Front-End Bandwidth DSB	11.5
3	Front-End Bandwidth LSD	1.5
3	(Info) DSB Coverage	38.4
3	(Info) LSD Coverage	11.7
1	Bad Speculation	5.2
2	Branch Mispredict	5.2
2	Machine Clears	0.0
1	Back-End Bound	20.2
2	Memory Bound	12.1
3	L1 Bound	14.8
4	DTLB Overhead	4.6
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	3.1
4	FB Full	76.3
3	L2 Bound	0.3
3	L3 Bound	3.5
4	Contested Accesses	0.6
4	Data Sharing	0.0
4	L3 Latency	7.7
4	SQ Full	3.7
3	DRAM Bound	8.7
4	Memory Bandwidth	30.9
4	Memory Latency	53.0
5	Local DRAM	12.1
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	8.9
4	Store Latency	29.4
5	Store L2	3.0
5	Store L3	7.0
5	Store Memory	19.5
4	False Sharing	0.4
4	Split Stores	0.4
4	DTLB Store Overhead	0.7
2	Core Bound	8.1
3	Divider	0.0
3	Port Utilization	24.3
4	Cycles of 0 Ports Utilized	64.6
4	Cycles of 1 Port Utilized	10.0
4	Cycles of 2 Ports Utilized	16.3
4	Cycles of 3+ Ports Utilized	38.3
5	Port 0	26.2
5	Port 1	25.8
5	Port 2	34.4
5	Port 3	35.2
5	Port 4	28.5
5	Port 5	25.6
5	Port 6	41.2
5	Port 7	14.4
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	49.7
2	General Retirement	45.7
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	4.0
3	Assists	0.0
1	Total Thread Count	146
1	Paused Time	0.0
1	Frame Count	37
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	261668565
1	Collection start time	23:51:30 15/12/2018 UTC
1	Collection stop time	23:51:50 15/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998547
2	Logical CPU Count	32
