Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1772.623967
1	Clockticks	4147042200000
1	Instructions Retired	8872640700000
1	CPI Rate	0.467397
1	MUX Reliability	0.999726
1	Front-End Bound	10.6
2	Front-End Latency	3.1
3	ICache Misses	0.6
3	ITLB Overhead	0.2
3	Branch Resteers	5.0
4	Mispredicts Resteers	4.6
4	Clears Resteers	0.1
4	Unknown Branches	0.3
3	DSB Switches	0.8
3	Length Changing Prefixes	0.0
3	MS Switches	1.1
2	Front-End Bandwidth	7.5
3	Front-End Bandwidth MITE	7.0
3	Front-End Bandwidth DSB	23.6
3	Front-End Bandwidth LSD	0.8
3	(Info) DSB Coverage	73.7
3	(Info) LSD Coverage	13.1
1	Bad Speculation	6.5
2	Branch Mispredict	6.4
2	Machine Clears	0.1
1	Back-End Bound	35.1
2	Memory Bound	13.6
3	L1 Bound	5.5
4	DTLB Overhead	2.7
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	8.7
4	FB Full	40.1
3	L2 Bound	2.2
3	L3 Bound	4.6
4	Contested Accesses	0.5
4	Data Sharing	0.2
4	L3 Latency	27.7
4	SQ Full	0.8
3	DRAM Bound	5.4
4	Memory Bandwidth	31.2
4	Memory Latency	57.8
5	Local DRAM	23.1
5	Remote DRAM	0.1
5	Remote Cache	0.0
3	Store Bound	8.1
4	Store Latency	27.6
5	Store L2	4.3
5	Store L3	5.3
5	Store Memory	18.0
4	False Sharing	0.0
4	Split Stores	0.5
4	DTLB Store Overhead	0.4
2	Core Bound	21.6
3	Divider	2.1
3	Port Utilization	41.1
4	Cycles of 0 Ports Utilized	38.3
4	Cycles of 1 Port Utilized	7.6
4	Cycles of 2 Ports Utilized	9.3
4	Cycles of 3+ Ports Utilized	21.4
5	Port 0	25.3
5	Port 1	23.3
5	Port 2	38.9
5	Port 3	39.9
5	Port 4	27.0
5	Port 5	24.3
5	Port 6	41.2
5	Port 7	16.0
4	Vector Capacity Usage (FPU)	20.9
1	Retiring	47.7
2	General Retirement	47.0
3	FP Arithmetic	0.3
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.7
2	Microcode Sequencer	0.8
3	Assists	0.0
1	Total Thread Count	118
1	Paused Time	0.0
1	Frame Count	357
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2670153999
1	Collection start time	22:31:41 15/12/2018 UTC
1	Collection stop time	23:01:14 15/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998524
2	Logical CPU Count	32
