Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	18.510461
1	Clockticks	329588700000
1	Instructions Retired	403235700000
1	CPI Rate	0.817360
1	MUX Reliability	0.994383
1	Front-End Bound	26.4
2	Front-End Latency	13.4
3	ICache Misses	1.6
3	ITLB Overhead	0.3
3	Branch Resteers	3.7
4	Mispredicts Resteers	2.5
4	Clears Resteers	0.0
4	Unknown Branches	1.2
3	DSB Switches	3.1
3	Length Changing Prefixes	0.0
3	MS Switches	3.8
2	Front-End Bandwidth	13.0
3	Front-End Bandwidth MITE	23.5
3	Front-End Bandwidth DSB	12.0
3	Front-End Bandwidth LSD	1.6
3	(Info) DSB Coverage	39.7
3	(Info) LSD Coverage	11.6
1	Bad Speculation	5.5
2	Branch Mispredict	5.5
2	Machine Clears	0.0
1	Back-End Bound	17.0
2	Memory Bound	10.7
3	L1 Bound	14.6
4	DTLB Overhead	3.3
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	2.2
4	FB Full	100.0
3	L2 Bound	1.0
3	L3 Bound	3.0
4	Contested Accesses	1.7
4	Data Sharing	0.1
4	L3 Latency	5.3
4	SQ Full	3.7
3	DRAM Bound	9.3
4	Memory Bandwidth	28.6
4	Memory Latency	56.2
5	Local DRAM	11.9
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	9.8
4	Store Latency	26.1
5	Store L2	2.9
5	Store L3	6.4
5	Store Memory	16.7
4	False Sharing	0.2
4	Split Stores	0.4
4	DTLB Store Overhead	0.5
2	Core Bound	6.2
3	Divider	0.0
3	Port Utilization	22.0
4	Cycles of 0 Ports Utilized	65.8
4	Cycles of 1 Port Utilized	11.3
4	Cycles of 2 Ports Utilized	16.3
4	Cycles of 3+ Ports Utilized	38.2
5	Port 0	25.1
5	Port 1	25.6
5	Port 2	34.7
5	Port 3	35.4
5	Port 4	27.8
5	Port 5	25.9
5	Port 6	41.9
5	Port 7	14.5
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	51.1
2	General Retirement	47.2
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	4.0
3	Assists	0.0
1	Total Thread Count	148
1	Paused Time	0.0
1	Frame Count	32
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	258948580
1	Collection start time	17:51:23 15/12/2018 UTC
1	Collection stop time	17:51:42 15/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998563
2	Logical CPU Count	32
