Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	294.148371
1	Clockticks	2750059200000
1	Instructions Retired	4211388300000
1	CPI Rate	0.653005
1	MUX Reliability	0.999330
1	Front-End Bound	20.3
2	Front-End Latency	8.7
3	ICache Misses	1.0
3	ITLB Overhead	0.3
3	Branch Resteers	2.3
4	Mispredicts Resteers	1.8
4	Clears Resteers	0.1
4	Unknown Branches	0.4
3	DSB Switches	3.8
3	Length Changing Prefixes	0.0
3	MS Switches	1.1
2	Front-End Bandwidth	11.5
3	Front-End Bandwidth MITE	13.4
3	Front-End Bandwidth DSB	22.7
3	Front-End Bandwidth LSD	2.1
3	(Info) DSB Coverage	67.4
3	(Info) LSD Coverage	10.2
1	Bad Speculation	3.0
2	Branch Mispredict	2.9
2	Machine Clears	0.1
1	Back-End Bound	21.9
2	Memory Bound	12.2
3	L1 Bound	12.9
4	DTLB Overhead	4.8
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.2
4	4K Aliasing	5.8
4	FB Full	88.4
3	L2 Bound	2.7
3	L3 Bound	2.2
4	Contested Accesses	1.0
4	Data Sharing	0.2
4	L3 Latency	6.2
4	SQ Full	4.9
3	DRAM Bound	10.9
4	Memory Bandwidth	30.6
4	Memory Latency	49.0
5	Local DRAM	20.6
5	Remote DRAM	2.1
5	Remote Cache	0.0
3	Store Bound	8.2
4	Store Latency	25.8
5	Store L2	3.0
5	Store L3	5.9
5	Store Memory	16.9
4	False Sharing	0.3
4	Split Stores	0.4
4	DTLB Store Overhead	0.7
2	Core Bound	9.8
3	Divider	2.3
3	Port Utilization	29.5
4	Cycles of 0 Ports Utilized	64.0
4	Cycles of 1 Port Utilized	12.1
4	Cycles of 2 Ports Utilized	16.5
4	Cycles of 3+ Ports Utilized	35.4
5	Port 0	28.1
5	Port 1	25.8
5	Port 2	36.7
5	Port 3	37.6
5	Port 4	25.3
5	Port 5	26.6
5	Port 6	44.2
5	Port 7	15.6
4	Vector Capacity Usage (FPU)	21.0
1	Retiring	54.8
2	General Retirement	53.9
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	0.9
3	Assists	0.0
1	Total Thread Count	155
1	Paused Time	0.0
1	Frame Count	64
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	1635237093
1	Collection start time	03:13:40 16/12/2018 UTC
1	Collection stop time	03:18:35 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998528
2	Logical CPU Count	32
