Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1522.245890
1	Clockticks	3943306500000
1	Instructions Retired	9063833100000
1	CPI Rate	0.435059
1	MUX Reliability	0.996802
1	Front-End Bound	19.0
2	Front-End Latency	8.5
3	ICache Misses	0.6
3	ITLB Overhead	0.2
3	Branch Resteers	2.3
4	Mispredicts Resteers	1.9
4	Clears Resteers	0.1
4	Unknown Branches	0.3
3	DSB Switches	2.6
3	Length Changing Prefixes	0.0
3	MS Switches	2.5
2	Front-End Bandwidth	10.5
3	Front-End Bandwidth MITE	15.6
3	Front-End Bandwidth DSB	16.4
3	Front-End Bandwidth LSD	1.0
3	(Info) DSB Coverage	51.1
3	(Info) LSD Coverage	14.6
1	Bad Speculation	3.4
2	Branch Mispredict	3.3
2	Machine Clears	0.1
1	Back-End Bound	19.1
2	Memory Bound	6.5
3	L1 Bound	5.3
4	DTLB Overhead	1.7
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	7.0
4	FB Full	42.0
3	L2 Bound	1.4
3	L3 Bound	1.8
4	Contested Accesses	0.2
4	Data Sharing	0.2
4	L3 Latency	8.0
4	SQ Full	0.9
3	DRAM Bound	3.7
4	Memory Bandwidth	19.5
4	Memory Latency	64.7
5	Local DRAM	12.2
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	7.8
4	Store Latency	27.6
5	Store L2	6.5
5	Store L3	3.9
5	Store Memory	17.2
4	False Sharing	0.0
4	Split Stores	0.6
4	DTLB Store Overhead	0.3
2	Core Bound	12.6
3	Divider	0.0
3	Port Utilization	38.9
4	Cycles of 0 Ports Utilized	42.4
4	Cycles of 1 Port Utilized	6.2
4	Cycles of 2 Ports Utilized	9.9
4	Cycles of 3+ Ports Utilized	26.4
5	Port 0	31.5
5	Port 1	30.9
5	Port 2	38.1
5	Port 3	39.0
5	Port 4	31.6
5	Port 5	32.3
5	Port 6	46.8
5	Port 7	17.0
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	58.5
2	General Retirement	53.5
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.0
3	Assists	0.0
1	Total Thread Count	118
1	Paused Time	0.0
1	Frame Count	948
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2708437785
1	Collection start time	19:19:18 15/12/2018 UTC
1	Collection stop time	19:44:41 15/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998525
2	Logical CPU Count	32
